"2021-12-14 16:53:29 [main] INFO  c.s.challenge.SmaatoDemoApplication - Starting SmaatoDemoApplication using Java 13.0.1 on BLN63160917 with PID 71200 (/Users/salmanemhamedi/Desktop/Salmane/Smt/SmaatoDemo/target/classes started by salmanemhamedi in /Users/salmanemhamedi/Desktop/Salmane/Smt/SmaatoDemo)
""2021-12-14 16:53:29 [main] INFO  c.s.challenge.SmaatoDemoApplication - No active profile set, falling back to default profiles: default
""2021-12-14 16:53:33 [main] INFO  o.s.b.w.e.netty.NettyWebServer - Netty started on port 8080
""2021-12-14 16:53:33 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 0
""2021-12-14 16:53:33 [main] INFO  c.s.challenge.SmaatoDemoApplication - Started SmaatoDemoApplication in 4.701 seconds (JVM running for 5.488)
""2021-12-14 16:53:52 [reactor-http-nio-2] INFO  com.smaato.challenge.CountController - HTTP status code of the response to: https://reqbin.com/echo/post/json :200 OK
""2021-12-14 16:54:33 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 1
""2021-12-14 16:56:22 [main] INFO  c.s.c.SmaatoDemoApplicationTests - Starting SmaatoDemoApplicationTests using Java 17.0.1 on BLN63160917 with PID 71260 (started by salmanemhamedi in /Users/salmanemhamedi/Desktop/Salmane/Smt/SmaatoDemo)
""2021-12-14 16:56:22 [main] INFO  c.s.c.SmaatoDemoApplicationTests - No active profile set, falling back to default profiles: default
""2021-12-14 16:56:25 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 0
""2021-12-14 16:56:25 [main] INFO  c.s.c.SmaatoDemoApplicationTests - Started SmaatoDemoApplicationTests in 2.925 seconds (JVM running for 4.066)
""2021-12-14 16:57:24 [main] INFO  c.s.c.SmaatoDemoApplicationTests - Starting SmaatoDemoApplicationTests using Java 17.0.1 on BLN63160917 with PID 71301 (started by salmanemhamedi in /Users/salmanemhamedi/Desktop/Salmane/Smt/SmaatoDemo)
""2021-12-14 16:57:24 [main] INFO  c.s.c.SmaatoDemoApplicationTests - No active profile set, falling back to default profiles: default
""2021-12-14 16:57:27 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 0
""2021-12-14 16:57:27 [main] INFO  c.s.c.SmaatoDemoApplicationTests - Started SmaatoDemoApplicationTests in 2.878 seconds (JVM running for 3.9)
""2021-12-14 16:58:10 [main] INFO  c.s.c.SmaatoDemoApplicationTests - Starting SmaatoDemoApplicationTests using Java 17.0.1 on BLN63160917 with PID 71342 (started by salmanemhamedi in /Users/salmanemhamedi/Desktop/Salmane/Smt/SmaatoDemo)
""2021-12-14 16:58:10 [main] INFO  c.s.c.SmaatoDemoApplicationTests - No active profile set, falling back to default profiles: default
""2021-12-14 16:58:12 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 0
""2021-12-14 16:58:12 [main] INFO  c.s.c.SmaatoDemoApplicationTests - Started SmaatoDemoApplicationTests in 2.903 seconds (JVM running for 4.046)
""2021-12-14 17:38:52 [main] INFO  c.s.challenge.SmaatoDemoApplication - Starting SmaatoDemoApplication using Java 13.0.1 on BLN63160917 with PID 71648 (/Users/salmanemhamedi/Desktop/Salmane/Smt/SmaatoDemo/target/classes started by salmanemhamedi in /Users/salmanemhamedi/Desktop/Salmane/Smt/SmaatoDemo)
""2021-12-14 17:38:52 [main] INFO  c.s.challenge.SmaatoDemoApplication - No active profile set, falling back to default profiles: default
""2021-12-14 17:38:55 [main] INFO  o.s.b.w.e.netty.NettyWebServer - Netty started on port 8080
""2021-12-14 17:38:55 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 0
""2021-12-14 17:38:55 [main] INFO  c.s.challenge.SmaatoDemoApplication - Started SmaatoDemoApplication in 3.74 seconds (JVM running for 4.538)
""2021-12-14 17:39:55 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 0
""2021-12-14 17:40:55 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 0
""2021-12-14 17:41:55 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 0
""2021-12-14 17:42:55 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 0
""2021-12-14 17:43:55 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 0
""2021-12-14 17:44:12 [reactor-http-nio-2] INFO  com.smaato.challenge.CountController - HTTP status code of the response to: https://reqbin.com/echo/post/json :404 NOT_FOUND
""2021-12-14 17:44:55 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 1
""2021-12-14 17:45:47 [reactor-http-nio-2] INFO  com.smaato.challenge.CountController - HTTP status code of the response to: https://reqbin.com/echo/post/json :404 NOT_FOUND
""2021-12-14 17:45:55 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 1
""2021-12-14 17:46:55 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 0
""2021-12-14 17:47:55 [scheduling-1] INFO  com.smaato.challenge.CountController - Number of Unique Ids per minute: 0
"
